#parameter
noise_strength=0.611
delayTime=1

time	Order	Order2	Order4
1 0.0807067 0.00651358 4.24267e-05
2 0.0834749 0.00696807 4.8554e-05
3 0.0787641 0.00620378 3.84869e-05
4 0.0857549 0.00735391 5.40799e-05
5 0.0799247 0.00638797 4.08061e-05
6 0.0817129 0.006677 4.45823e-05
7 0.0787618 0.00620342 3.84825e-05
8 0.0844605 0.00713358 5.0888e-05
9 0.0819419 0.00671448 4.50842e-05
10 0.0822757 0.0067693 4.58234e-05
11 0.0820769 0.00673662 4.5382e-05
12 0.0814966 0.00664169 4.4112e-05
13 0.0816283 0.00666318 4.43979e-05
14 0.0818486 0.00669919 4.48792e-05
15 0.0858667 0.00737309 5.43624e-05
16 0.0815253 0.00664638 4.41744e-05
17 0.0822901 0.00677167 4.58555e-05
18 0.0790272 0.0062453 3.90038e-05
19 0.0830322 0.00689434 4.7532e-05
20 0.0799386 0.00639019 4.08345e-05
21 0.0791063 0.00625781 3.91602e-05
22 0.0785636 0.00617224 3.80965e-05
23 0.0825831 0.00681997 4.6512e-05
24 0.0796711 0.00634748 4.02905e-05
25 0.0808609 0.00653849 4.27518e-05
26 0.0798888 0.00638223 4.07328e-05
27 0.0821509 0.00674877 4.55459e-05
28 0.0788433 0.00621627 3.8642e-05
29 0.0820414 0.00673079 4.53036e-05
30 0.0824652 0.00680051 4.62469e-05
31 0.0799515 0.00639224 4.08608e-05
32 0.0803856 0.00646184 4.17553e-05
33 0.0813567 0.00661892 4.38101e-05
34 0.0806322 0.00650155 4.22701e-05
35 0.0830319 0.00689429 4.75312e-05
36 0.0792112 0.00627442 3.93683e-05
37 0.0826766 0.00683542 4.67229e-05
38 0.0803185 0.00645107 4.16163e-05
39 0.0796413 0.00634273 4.02302e-05
40 0.081344 0.00661684 4.37826e-05
41 0.0773346 0.00598063 3.5768e-05
42 0.0805072 0.00648141 4.20087e-05
43 0.0789005 0.00622529 3.87543e-05
44 0.0818633 0.0067016 4.49115e-05
45 0.077907 0.0060695 3.68389e-05
46 0.0794999 0.00632024 3.99454e-05
47 0.0823048 0.00677408 4.58881e-05
48 0.0772762 0.00597161 3.56601e-05
49 0.0809792 0.00655762 4.30024e-05
50 0.0773297 0.00597988 3.57589e-05
51 0.0822522 0.00676543 4.5771e-05
52 0.0783765 0.00614287 3.77349e-05
53 0.081228 0.00659799 4.35335e-05
54 0.0836271 0.0069935 4.8909e-05
55 0.0824237 0.00679367 4.6154e-05
56 0.0834946 0.00697134 4.85996e-05
57 0.0831945 0.00692133 4.79048e-05
58 0.0805007 0.00648036 4.19951e-05
59 0.0804867 0.0064781 4.19658e-05
60 0.0795035 0.00632081 3.99527e-05
61 0.0812137 0.00659567 4.35029e-05
62 0.0802822 0.00644522 4.15409e-05
63 0.0822975 0.00677287 4.58718e-05
64 0.0810978 0.00657685 4.32549e-05
65 0.0813785 0.00662246 4.3857e-05
66 0.0802064 0.00643307 4.13844e-05
67 0.0799174 0.00638679 4.07911e-05
68 0.0823087 0.00677472 4.58969e-05
69 0.0828761 0.00686845 4.71756e-05
70 0.0809605 0.0065546 4.29628e-05
71 0.0831432 0.00691279 4.77867e-05
72 0.0817245 0.0066789 4.46077e-05
73 0.0860696 0.00740798 5.48782e-05
74 0.0846378 0.00716355 5.13165e-05
75 0.086339 0.00745443 5.55685e-05
76 0.0844033 0.00712392 5.07502e-05
77 0.0838053 0.00702333 4.93272e-05
78 0.0850535 0.00723411 5.23323e-05
79 0.0842445 0.00709714 5.03694e-05
80 0.0850287 0.00722988 5.22711e-05
81 0.0824415 0.00679661 4.61939e-05
82 0.0864224 0.00746884 5.57836e-05
83 0.0832328 0.0069277 4.79931e-05
84 0.0879289 0.00773149 5.97759e-05
85 0.0826582 0.00683239 4.66815e-05
86 0.0881936 0.00777811 6.0499e-05
87 0.0844932 0.0071391 5.09667e-05
88 0.0892405 0.00796387 6.34233e-05
89 0.085639 0.00733404 5.37881e-05
90 0.088855 0.00789521 6.23343e-05
91 0.0852937 0.00727501 5.29258e-05
92 0.0865289 0.00748725 5.60589e-05
93 0.0863822 0.00746189 5.56798e-05
94 0.0843023 0.00710688 5.05078e-05
95 0.0847686 0.00718572 5.16346e-05
96 0.0827174 0.00684218 4.68154e-05
97 0.0826808 0.00683611 4.67324e-05
98 0.0815184 0.00664524 4.41592e-05
99 0.0846954 0.0071733 5.14563e-05
100 0.0819254 0.00671177 4.50478e-05
